L,distinct_cids,pcap_buckets,switch_buckets,agree,accuracy_pct
2,10,10,10,10,100.0
4,20,20,20,20,100.0
8,41,41,41,41,100.0
16,81,81,81,81,100.0
32,160,160,160,160,100.0
64,320,320,320,320,100.0
128,641,638,638,638,99.53
256,1281,1277,1277,1277,99.69
512,2556,2529,2527,2527,98.94
1024,5058,4966,4966,4966,98.18
2048,10034,9651,9663,9651,96.18
4096,19680,18333,18382,18330,93.16
8192,32660,28866,29026,28862,88.38
16384,52410,43133,43295,43128,82.30
32768,104962,72255,72508,72241,68.84
65536,209305,104530,104893,104509,49.94
131072,416271,125500,125659,125478,30.15
262144,836443,130830,130831,130810,15.64
524288,1645669,131072,131052,131052,7.96
1048576,3338075,131072,131052,131052,3.93
