L,distinct_cids,pcap_buckets,switch_buckets,agree,accuracy_pct
1,5,5,5,5,100.0
1,6,6,6,6,100.0
2,11,11,11,11,100.0
4,22,22,22,22,100.0
8,42,42,42,42,100.0
16,83,83,83,83,100.0
32,167,165,165,165,98.80
64,333,333,333,333,100.0
128,669,667,667,667,99.70
256,1339,1336,1336,1336,99.78
512,2685,2657,2657,2657,98.96
1024,5264,5171,5173,5171,98.23
2048,10240,9842,9840,9840,96.11
4096,4096,4036,4031,4031,98.54
8192,8192,7949,7948,7948,97.03
16384,16384,15409,15408,15408,94.05
1,5,5,5,5,100.0
2,10,10,10,10,100.0
4,21,21,21,21,100.0
8,40,40,40,40,100.0
16,84,84,84,84,100.0
32,171,171,171,171,100.0
64,335,335,335,335,100.0
128,676,675,675,675,99.85
256,1360,1349,1349,1349,99.19
512,2720,2701,2700,2699,99.30
1024,5310,5215,5216,5215,98.21
2048,10725,10265,10262,10262,95.71
4096,20094,18650,18696,18648,92.81
8192,34606,30404,30400,30400,87.86
16384,71020,54785,54843,54777,77.14
32768,97195,68687,68781,68674,70.67
65536,155208,91120,91107,91107,58.71
