L,distinct_cids,pcap_buckets,switch_buckets,agree,accuracy_pct
2,10,10,10,10,100.0
4,20,20,20,20,100.0
8,40,40,40,40,100.0
16,80,80,80,80,100.0
32,161,161,161,161,100.0
64,320,320,321,320,100.0
128,640,639,640,639,99.84
256,1280,1273,1274,1273,99.45
512,2560,2534,2535,2533,98.98
1024,4999,4892,4898,4890,97.86
2048,10007,9660,9685,9645,96.53
4096,19435,17997,18158,17951,92.60
8192,32713,28997,29380,28871,88.64
16384,53762,44108,45147,43761,82.04
32768,107114,73292,74811,72876,68.42
65536,208534,104693,106163,104304,50.20
131072,423970,125893,126538,125748,29.69
262144,854739,130871,130913,130840,15.31
524288,1716111,131071,131052,131051,7.64
1048576,3412410,131072,131052,131052,3.84
