bucket,pkts,bytes
6887,3,3894
6915,58,9312
6924,92,17030
6953,189,25349
6973,1,1298
7009,1,1298
7019,204,27981
7025,425,48806
7029,5,6490
7043,1,1298
7079,24358,35942246
7092,1,1298
7093,80,15329
7100,24,16493
7109,46,11202
7118,1051,1447380
7123,1,1298
7127,1,1298
7138,47,11269
7141,3,3894
7188,3,3894
7201,40,10679
7205,1,1298
7268,3,3894
7274,761,83590
7292,3,2714
7296,1,1298
7297,265,34078
7305,1,1298
7309,2,1416
7339,3,3894
7341,1,1298
7345,49669,73339345
7354,3,3894
7374,67238,99307737
7388,1,1298
7392,1442,1862343
7405,1,1298
7455,283,34583
7457,3,3894
7470,35,10047
7505,13,4126
7508,755,84331
7528,7607,11141196
7538,817,91471
7542,3,3894
7547,3,3894
7560,3,2714
7570,3,3894
7590,3,3894
7605,1,1298
7615,13984,20585885
7626,45,11152
7632,11220,16475037
7646,5335,7847936
7654,3,2714
7684,37394,54389703
7689,453,53110
7694,3,2714
7700,25,19123
7712,3,3894
7715,3,3894
7740,16471,24296366
7742,1,1298
7754,178,23434
7761,1,1298
7772,3,3894
7773,9089,13381530
7785,360,42550
7805,8,10384
7808,214,28279
7846,12551,18427969
7850,72,13053
7872,3,2714
7881,208,27006
7907,120,19474
7951,3,3894
7964,62714,92530396
7983,15596,22975964
7986,1,1298
7991,18,16844
8042,8,8450
8068,3,3894
8069,3,2714
8075,18631,27455879
8093,1826,2650100
8097,1,1298
8111,1,1298
8112,35946,53078558
8114,3,2714
8134,1,1298
8136,1,1298
8140,1,1298
8145,1477,2116792
8149,3,2714
8151,3,2714
8158,75,13286
8182,550,63787
8194,1,1298
8196,577,63497
8241,10,2523
8246,11,3821
8275,843,93617
8304,25,19060
8309,451,51089
8320,6,7788
8329,1,1298
8333,1,1298
8377,24418,36012476
8402,1540,2223694
8406,4045,5916648
8414,3,3894
8465,3,2714
8468,3,3894
8481,3,2714
8499,3,3894
8506,1,1298
8527,170,23124
8578,1,1298
8588,529,61060
8635,1,1298
8636,5,6490
8693,1,1298
8724,3,2714
8762,3,3894
8771,1,1298
8785,1,1298
8822,1,1298
8872,1,1298
8874,1,1298
8885,3,3894
8893,3,2714
8898,1932,2671418
8913,1,1298
8916,1599,2228252
8918,2815,4119852
8928,4042,5816944
8948,1,1298
9007,53395,78710011
9043,3,3894
9050,25131,37074560
9060,61,12710
9069,68,13995
9079,410,49364
9084,1,1298
9093,3,2714
9119,19329,28475947
9180,2,2596
9226,3579,5237370
9242,7503,10865558
9248,3,3894
9252,476,53034
9264,1,1298
9283,47332,69865280
9292,1,1298
9317,72,14828
9319,1,1298
9322,6003,8768455
9327,3997,5807550
9341,1,1298
9412,185,25460
9456,56935,84100714
9463,965,1354941
9480,8435,12205176
9483,3,3894
9505,353,41676
9521,23534,34686566
9532,5183,7427910
9552,324,38388
9561,2110,3045457
9638,40,11751
9640,3270,4747097
9642,234,29525
9659,17,16685
9667,1,1298
9673,3,3894
9702,1,1298
9736,3,3894
9783,18889,27850068
9784,3,3894
9789,1,1298
9803,3911,5700786
9829,6928,10102552
9863,11595,17054515
9864,3638,5309293
9868,1,1298
9917,3,3894
9950,59312,87546360
9956,65,13371
9991,3,3894
10000,3,3894
10023,95,17210
10051,1,1298
10059,3,2714
10064,6116,8927845
10071,16495,24297096
10077,41,10888
10105,1,1298
10123,21443,31633632
10145,3,3894
10163,14,3132
10166,3,2714
10181,1,1298
10192,3,3894
10202,333,38167
10207,1,1298
10219,1,1298
10261,1,1298
10274,1,1298
10293,1,1298
10296,708,77600
10299,8,8454
10302,3,2714
10303,729,80683
10320,4,4012
10360,3,2714
10398,85,14621
10413,3,2714
10419,389,43866
10420,1,1298
10434,1,1298
10449,6778,9963010
10463,52131,76945300
10464,534,59883
10466,429,50485
10473,3,3894
10597,30088,44394725
10603,3,2714
10620,1,1298
10621,160,21101
10642,1,1298
10695,3,3894
10706,1,1298
10707,1,1298
10753,8125,11921043
10765,9,9742
10776,1623,2333004
10830,8544,12568571
10851,51,11948
10852,3,2714
10884,1,1298
10886,318,38646
10898,645,72493
10922,3,3894
10923,479,56920
10925,608,67777
10937,25610,37769090
10941,29374,43326379
10957,377,44236
10972,285,33473
11026,2816,4074522
11030,59,12592
11032,1,1298
11051,33594,49596651
11067,55,12107
11069,20,4043
11086,2083,2970533
11098,61968,91528210
11113,1,1298
11199,473,54531
11211,3,3894
11220,43,10963
11246,12100,17165427
11278,5516,8051021
11319,3,3894
11328,1,1298
11336,3,3894
11348,6719,9492588
11378,2891,4218753
11381,1,1298
11398,3397,4982483
11409,423,50838
11410,1,1298
11431,1,1298
11445,10086,14828469
11447,3,3894
11464,450,54940
11473,15430,22716245
11477,57,12616
11504,107,14311
11540,3642,5136193
11565,1,1298
11582,3,3894
11585,3,3894
11614,3,2714
11670,1,1298
11748,3,3894
11751,705,77113
11760,1,1298
11764,3,3894
11792,3,2714
11794,1,1298
11806,1,1298
11811,1,1298
11812,16,2230
11819,1,1298
11831,1,1298
11849,24469,36087457
11869,16,2229
11877,5197,7502004
11879,1,1298
11888,13315,19564079
11889,3,2714
11898,1,1298
11904,11248,16571222
11920,908,1239550
11934,5,6490
11955,1492,2101891
11973,1,1298
11990,76,13439
11992,2772,4028765
12001,3,3894
12035,616,73875
12041,1,1298
12094,1,1298
