bucket,pkts,bytes
28122,3,2714
28126,3,3894
28150,3236,4684652
28176,10194,15028830
28181,17288,25432370
28187,622,69561
28189,1808,2609227
28202,5422,7919586
28243,52,11942
28245,350,41197
28246,1,1298
28261,1,1298
28265,4015,5787225
28277,4380,6331740
28288,50807,73926177
28292,9567,14024796
28302,1,1298
28306,4231,6189228
28312,1,1298
28314,15155,21993350
28320,1,1298
28332,49,11615
28345,3,3894
28346,1461,2050319
28373,3,3894
28396,45,11307
28405,18101,26663702
28430,40,10650
28436,3,3894
28445,3,3894
28464,3,3894
28481,497,55054
28486,3,3894
28487,5642,8273961
28494,452,52043
28551,69643,102876009
28611,14,3132
28620,1,1298
28623,103,17499
28713,1,1298
28719,1,1298
28774,65,13398
28775,17,16697
28782,1,1298
28784,2,1416
28798,677,77113
28827,1,1298
28842,12442,18274827
28845,5,6490
28860,7724,11299102
28884,13257,19486931
28887,5,6490
28946,3,3894
28979,3,3894
28980,3,3894
29004,1,1298
29015,1,1298
29047,12188,17910859
29048,3,3894
29089,317,37486
29095,12,2828
29098,3,2714
29101,1,1298
29103,1,1298
29113,1,1298
29184,1,1298
29196,443,50088
29202,1,1298
29230,3,3894
29249,1058,1480467
29254,36836,53563172
29290,46565,68716635
29312,4274,6229773
29320,607,66241
29322,1,1298
29327,555,65719
29329,3,2714
29330,1,1298
29352,1,1298
29353,46,11275
29397,229,28585
29404,3,2714
29417,25,19087
29419,18,16848
29442,41,10854
29457,16,2230
29459,1,1298
29472,1,1298
29473,1,1298
29483,1,1298
29488,1,1298
29508,1,1298
29513,21790,32157209
29522,3925,5749040
29538,1,1298
29567,3,3894
29585,44106,65162395
29588,1,1298
29602,320,37127
29641,566,63677
29647,1,1298
29664,1,1298
29718,49,9995
29745,1,1298
29746,18,16840
29759,28,5259
29762,3,3894
29763,3,3894
29771,61311,90520788
29778,28605,42226617
29782,1419,2033524
29784,1,1298
29785,18550,27290003
29789,5454,7990676
29800,1,1298
29808,679,76927
29851,1,1298
29869,65,13936
29879,1,1298
29880,3,3894
29888,1,1298
29895,282,34097
29899,684,76920
29922,33,9993
29928,1,1298
29949,3,2714
29962,3,2714
29974,3,2714
30003,3,2714
30017,1,1298
30020,497,54498
30022,1,1298
30024,16661,24123639
30045,3,3894
30105,1,1298
30126,60,11517
30135,18,16824
30139,657,74231
30143,3,2714
30147,3,3894
30186,18,16852
30213,3,3894
30218,1,1298
30273,6,5428
30289,3,3894
30303,3,3894
30322,188,25572
30343,25,19033
30353,24,16484
30381,18,16808
30415,1613,2294501
30417,287,34692
30419,90,15658
30461,1,1298
30482,1,1298
30493,14,3132
30499,3,3894
30508,5,6490
30526,506,58517
30530,5,6490
30539,3,3894
30554,63,13033
30564,134,18619
30572,3,3894
30575,1,1298
30577,3,3894
30580,10496,15430677
30585,1,1298
30589,197,26372
30635,1838,2674136
30642,6355,9297283
30694,1,1298
30706,1,1298
30729,1,1298
30732,3,3894
30752,28183,41512068
30757,84,18217
30816,139,22153
30817,1,1298
30820,3,3894
30829,1,1298
30867,412,48346
30880,1,1298
30889,1,1298
30898,1,1298
30904,1,1298
30919,3,2714
30943,1,1298
30991,1,1298
31016,3,2714
31026,3,3894
31036,327,41251
31060,1,1298
31065,334,39461
31068,1,1298
31070,3,2714
31077,54,12354
31101,1,1298
31112,71,13917
31158,3,3894
31161,1,1298
31176,1,1298
31196,63,13286
31206,3,3894
31212,39,10611
31224,93,15871
31244,51637,76224882
31251,1,1298
31256,1,1298
31264,42320,62456922
31270,10212,15047270
31271,52,7484
31315,46,10088
31321,8,8436
31336,1,1298
31338,1,1298
31340,8580,12625957
31350,12,2827
31373,42798,63186805
31375,6704,9839048
31390,397,48239
31422,1,1298
31428,6253,9182412
31432,52,10446
31440,12345,18140387
31447,2386,3493581
31470,14,3131
31471,11298,16627170
31489,3,3894
31505,1,1298
31519,19677,29016659
31523,1,1298
31527,18,16808
31564,1,1298
31565,388,44590
31588,1,1298
31612,1,1298
31619,1,1298
31645,437,49631
31682,1,1298
31694,3,2714
31715,1,1298
31723,55542,82018301
31738,1,1298
31744,110,17503
31761,1,1298
31836,62,10564
31846,1,1298
31852,18,16768
31873,1,1298
31888,34806,51305718
31905,836,1133960
31913,159,21011
31917,1,1298
31924,5,6490
31928,3,3894
31930,3,3894
31966,3,3894
32026,800,88528
32029,1,1298
32037,1,1298
32047,1010,1383699
32095,688,76294
32096,3253,4769968
32113,54,12207
32117,3,2714
32144,68,13224
32156,1,1298
32183,45,11623
32241,3,3894
32254,3,3894
32280,108,17545
32356,1,1298
32361,3,3894
32370,18577,27371533
32379,1,1298
32396,31778,46911908
32429,2,1416
32455,8,8450
32465,1,1298
32472,3,2714
32488,3,3894
32497,3,2714
32504,53,12453
32507,3,2714
32522,806,87062
32526,5,6490
32530,7764,11389790
32531,3398,4956297
32546,3,2714
32577,20,4044
32592,1,1298
32600,209,27020
32619,71,14232
32634,101,18107
32647,1,1298
32659,32,10285
32677,15,4430
32693,3,3894
