L,distinct_cids,pcap_buckets,switch_buckets,agree,accuracy_pct
1,12,12,12,12,100.0
2,23,23,23,23,100.0
4,48,48,48,48,100.0
8,90,90,90,90,100.0
16,192,192,192,192,100.0
32,394,394,394,394,100.0
64,823,819,824,819,99.51
128,1710,1698,1698,1698,99.30
256,3549,3490,3489,3489,98.34
