L,distinct_cids,pcap_buckets,switch_buckets,agree,accuracy_pct
2,10,10,10,10,100.0
4,20,20,20,20,100.0
8,40,40,40,40,100.0
16,80,80,80,80,100.0
32,160,160,160,160,100.0
64,320,319,320,319,99.69
128,640,639,639,639,99.84
256,1280,1272,1273,1272,99.38
512,2561,2541,2540,2540,99.22
1024,5055,4972,4975,4968,98.36
2048,10039,9672,9736,9642,96.34
4096,19830,18374,18585,18311,92.66
8192,34283,30182,30639,30069,88.04
16384,53784,44012,45106,43617,81.83
32768,108513,73777,75366,73300,67.99
65536,212694,105486,107025,105097,49.60
131072,428218,126144,126768,125991,29.46
262144,848647,130871,130891,130838,15.42
524288,1688046,131072,131052,131052,7.76
1048576,3397831,131072,131052,131052,3.86
